Jul  5 07:09:08 YouBuy2 postfix/smtpd[26891]: 9458714769F: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:16:48 YouBuy2 postfix/smtpd[26955]: 551B414770C: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:17:20 YouBuy2 postfix/smtpd[26955]: 8DE0214770E: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:17:38 YouBuy2 postfix/smtpd[26955]: 09826147710: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:18:00 YouBuy2 postfix/smtpd[26955]: 157FA147712: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:18:11 YouBuy2 postfix/smtpd[26955]: 8D9B2147714: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:18:41 YouBuy2 postfix/smtpd[26955]: 9D0CD147715: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:19:11 YouBuy2 postfix/smtpd[26955]: EDB68147717: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:19:42 YouBuy2 postfix/smtpd[26955]: 1DF9314771A: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:19:57 YouBuy2 postfix/smtpd[26955]: 6136A14771C: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:20:19 YouBuy2 postfix/smtpd[26955]: B2DA314771E: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:20:41 YouBuy2 postfix/smtpd[26955]: DBF3214771F: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:20:58 YouBuy2 postfix/smtpd[26955]: E0691147721: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:21:33 YouBuy2 postfix/smtpd[26955]: 59C41147723: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:21:52 YouBuy2 postfix/smtpd[26955]: 36582147725: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:22:06 YouBuy2 postfix/smtpd[26955]: A2ACC147729: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:22:19 YouBuy2 postfix/smtpd[26955]: B3EC814772B: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:39:17 YouBuy2 postfix/smtpd[27384]: 3C53B14772B: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:39:42 YouBuy2 postfix/smtpd[27384]: 2579614772E: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:39:56 YouBuy2 postfix/smtpd[27384]: C45A9147730: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:40:14 YouBuy2 postfix/smtpd[27384]: 0D8DB147732: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:40:39 YouBuy2 postfix/smtpd[27384]: BE3DE147734: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:41:05 YouBuy2 postfix/smtpd[27384]: 79B45147736: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:41:43 YouBuy2 postfix/smtpd[27384]: 6B138147738: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:42:12 YouBuy2 postfix/smtpd[27384]: 47D6614773A: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:42:37 YouBuy2 postfix/smtpd[27384]: C459D14773C: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:43:07 YouBuy2 postfix/smtpd[27384]: BB4B914773E: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:43:37 YouBuy2 postfix/smtpd[27384]: A827D147740: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:44:12 YouBuy2 postfix/smtpd[27384]: 40D52147742: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:44:43 YouBuy2 postfix/smtpd[27384]: 0FE34147744: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:45:01 YouBuy2 postfix/smtpd[27384]: 51748147746: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:45:22 YouBuy2 postfix/smtpd[27384]: D2872147749: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:45:42 YouBuy2 postfix/smtpd[27384]: 442F714774B: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:46:03 YouBuy2 postfix/smtpd[27384]: C6B9114774C: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:46:19 YouBuy2 postfix/smtpd[27384]: 0284D14774C: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:46:39 YouBuy2 postfix/smtpd[27384]: 630AC14774F: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:46:58 YouBuy2 postfix/smtpd[27384]: D9B3B147751: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:47:19 YouBuy2 postfix/smtpd[27384]: 08D71147753: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:47:47 YouBuy2 postfix/smtpd[27384]: BE57B147755: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:48:24 YouBuy2 postfix/smtpd[27384]: C7363147757: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:48:52 YouBuy2 postfix/smtpd[27384]: 2CCDC147758: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:49:29 YouBuy2 postfix/smtpd[27384]: C386514775B: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:49:51 YouBuy2 postfix/smtpd[27384]: B0BEC14775D: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:50:10 YouBuy2 postfix/smtpd[27384]: 752EB14775F: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:50:39 YouBuy2 postfix/smtpd[27384]: 21C9C147761: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:51:05 YouBuy2 postfix/smtpd[27384]: 2F954147764: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:52:01 YouBuy2 postfix/smtpd[27384]: D6BE4147764: client=unknown[60.166.24.170], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:32:21 YouBuy2 postfix/smtpd[29446]: 3490714775C: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:32:29 YouBuy2 postfix/smtpd[29446]: A5932147760: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:32:36 YouBuy2 postfix/smtpd[29446]: 94B0E147762: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:32:43 YouBuy2 postfix/smtpd[29446]: 4A4A5147765: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:32:50 YouBuy2 postfix/smtpd[29446]: 6945B147765: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:33:01 YouBuy2 postfix/smtpd[29446]: 37ABE147767: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:33:10 YouBuy2 postfix/smtpd[29446]: F063F147769: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:33:24 YouBuy2 postfix/smtpd[29446]: 2B02214776B: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:33:38 YouBuy2 postfix/smtpd[29446]: 23A1314776D: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:33:51 YouBuy2 postfix/smtpd[29446]: 9D74314776F: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:34:02 YouBuy2 postfix/smtpd[29446]: BD259147771: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:34:10 YouBuy2 postfix/smtpd[29446]: 6F09B147772: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:34:16 YouBuy2 postfix/smtpd[29446]: 0F652147775: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:34:30 YouBuy2 postfix/smtpd[29446]: 2D6E3147777: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:34:41 YouBuy2 postfix/smtpd[29446]: 09D18147779: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:35:07 YouBuy2 postfix/smtpd[29446]: 3EF3114777B: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:35:49 YouBuy2 postfix/smtpd[29446]: 4815714777D: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:36:04 YouBuy2 postfix/smtpd[29446]: B989D14777F: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:36:20 YouBuy2 postfix/smtpd[29446]: 077C8147781: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:36:40 YouBuy2 postfix/smtpd[29446]: 9C100147783: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:36:58 YouBuy2 postfix/smtpd[29446]: 190DE147785: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:37:15 YouBuy2 postfix/smtpd[29446]: 95DA2147787: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:37:41 YouBuy2 postfix/smtpd[29446]: 8C848147789: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:37:58 YouBuy2 postfix/smtpd[29446]: 1045B14778B: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:38:13 YouBuy2 postfix/smtpd[29446]: 2CB1F14778E: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:38:25 YouBuy2 postfix/smtpd[29446]: A82EC147790: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:38:51 YouBuy2 postfix/smtpd[29446]: 0D1BB147793: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:39:14 YouBuy2 postfix/smtpd[29446]: F33AD147795: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:39:28 YouBuy2 postfix/smtpd[29446]: 0DE29147797: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:39:42 YouBuy2 postfix/smtpd[29446]: 9953F147799: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:39:59 YouBuy2 postfix/smtpd[29446]: 8519714779B: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:40:16 YouBuy2 postfix/smtpd[29446]: 0460F14779D: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:40:29 YouBuy2 postfix/smtpd[29446]: 3D6BF14779F: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:40:38 YouBuy2 postfix/smtpd[29446]: 593591477A1: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:40:54 YouBuy2 postfix/smtpd[29446]: A221B1477A3: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:41:06 YouBuy2 postfix/smtpd[29446]: 55A3A1477A5: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:41:22 YouBuy2 postfix/smtpd[29446]: D11821477A7: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:41:29 YouBuy2 postfix/smtpd[29446]: 684B71477A7: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:41:45 YouBuy2 postfix/smtpd[29446]: 410021477A9: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:42:03 YouBuy2 postfix/smtpd[29446]: D62A11477AB: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:42:20 YouBuy2 postfix/smtpd[29446]: A564F1477AD: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:42:31 YouBuy2 postfix/smtpd[29446]: 80BE51477AF: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:42:42 YouBuy2 postfix/smtpd[29446]: C3F691477B0: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 10:42:50 YouBuy2 postfix/smtpd[29446]: EDF781477B3: client=client-230-13-34-193.oss-tambov.ru[193.34.13.230], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:14:43 YouBuy2 postfix/smtpd[30138]: 821571477B5: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:15:35 YouBuy2 postfix/smtpd[30138]: 44BA71477B6: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:16:38 YouBuy2 postfix/smtpd[30138]: 55F421477B9: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:16:58 YouBuy2 postfix/smtpd[30138]: 105041477BB: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:17:40 YouBuy2 postfix/smtpd[30138]: B5C3C1477BD: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:18:56 YouBuy2 postfix/smtpd[30138]: 1F3961477BF: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:20:13 YouBuy2 postfix/smtpd[30138]: 9E48C1477C1: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:20:29 YouBuy2 postfix/smtpd[30138]: 8996B1477C3: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:20:37 YouBuy2 postfix/smtpd[30138]: 0F1F71477C4: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:20:49 YouBuy2 postfix/smtpd[30138]: 6A1181477C7: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:20:59 YouBuy2 postfix/smtpd[30138]: 9C1BD1477C9: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:21:18 YouBuy2 postfix/smtpd[30138]: 1FFDF1477CB: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:22:23 YouBuy2 postfix/smtpd[30271]: 74BC81477CD: client=WimaxUser3652-139.wateen.net[110.36.52.140], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:22:32 YouBuy2 postfix/smtpd[30138]: EC9E31477CE: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:23:56 YouBuy2 postfix/smtpd[30138]: B8A9A1477D2: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:24:01 YouBuy2 postfix/smtpd[30271]: 40B981477D3: client=WimaxUser3652-139.wateen.net[110.36.52.140], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:24:43 YouBuy2 postfix/smtpd[30138]: BAED41477D6: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:24:50 YouBuy2 postfix/smtpd[30271]: 8F5191477D8: client=WimaxUser3652-139.wateen.net[110.36.52.140], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:25:16 YouBuy2 postfix/smtpd[30138]: 958551477D6: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:25:33 YouBuy2 postfix/smtpd[30138]: BE00F1477DD: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:25:43 YouBuy2 postfix/smtpd[30138]: E5F141477DF: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:25:53 YouBuy2 postfix/smtpd[30138]: 60CAB1477DF: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:02 YouBuy2 postfix/smtpd[30138]: 6E0EC1477E0: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:08 YouBuy2 postfix/smtpd[30305]: CB0541477E1: client=unknown[117.244.24.195], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:11 YouBuy2 postfix/smtpd[30138]: 5BEAC1477E3: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:22 YouBuy2 postfix/smtpd[30138]: 3A3521477E5: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:33 YouBuy2 postfix/smtpd[30138]: 83AA31477E6: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:36 YouBuy2 postfix/smtpd[30305]: F1D331477E8: client=unknown[117.244.24.195], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:42 YouBuy2 postfix/smtpd[30138]: 9A8201477EA: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:26:58 YouBuy2 postfix/smtpd[30138]: E23121477EB: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:27:16 YouBuy2 postfix/smtpd[30138]: 34B2A1477EA: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:27:32 YouBuy2 postfix/smtpd[30138]: CEE6D1477ED: client=WimaxUser3619-35.wateen.net[110.36.19.35], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:27:39 YouBuy2 postfix/smtpd[30339]: 8CAD21477EE: client=unknown[111.160.40.106], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 11:27:49 YouBuy2 postfix/smtpd[30305]: EE60D1477EF: client=unknown[117.244.24.195], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
